transaction_id,customer_id,agent_id,merchant_id,transaction_type,amount,status,transaction_date,failure_reason,channel
TXN0000001,CUST00424,AGENT0133,MERCH0084,Airtime Purchase,186361.67,Success,2025-01-18 22:57:22,,USSD
TXN0000002,CUST00324,AGENT0128,MERCH0076,Transfer,129962.26,Success,2024-11-13 05:47:53,,Mobile App
TXN0000003,CUST00020,AGENT0046,MERCH0057,Wallet Top-up,126427.38,Success,2024-12-22 21:54:19,,Mobile App
TXN0000004,CUST00108,AGENT0001,MERCH0055,Transfer,97211.64,Success,2024-09-30 18:11:10,Network Error,USSD
TXN0000005,CUST00720,AGENT0122,MERCH0082,Airtime Purchase,247465.57,Success,2025-04-30 11:18:55,,Mobile App
TXN0000006,CUST00223,AGENT0139,MERCH0004,POS Withdrawal,48914.42,Success,2025-04-22 10:54:16,,Mobile App
TXN0000007,CUST00444,AGENT0028,MERCH0085,Bill Payment,181534.33,Success,2025-01-14 04:30:31,,Mobile App
TXN0000008,CUST00584,AGENT0070,MERCH0040,Bill Payment,291604.76,Success,2025-08-03 11:27:01,,Mobile App
TXN0000009,CUST00020,AGENT0146,MERCH0032,QR Payment,58243.48,Success,2025-06-08 12:43:49,,Mobile App
TXN0000010,CUST00682,AGENT0116,MERCH0075,Airtime Purchase,125192.3,Failed,2024-10-20 00:02:46,,USSD
TXN0000011,CUST00271,AGENT0133,MERCH0031,Airtime Purchase,215371.64,Success,2024-12-17 17:39:11,,Mobile App
TXN0000012,CUST00732,AGENT0065,MERCH0038,Bill Payment,129258.03,Success,2024-11-01 08:57:44,,Mobile App
TXN0000013,CUST00051,AGENT0051,MERCH0026,Transfer,3093.73,Success,2025-07-07 16:36:29,,Mobile App
TXN0000014,CUST00401,AGENT0117,MERCH0068,Bill Payment,212404.54,Success,2024-10-29 14:57:47,,USSD
TXN0000015,CUST00080,AGENT0070,MERCH0072,Wallet Top-up,215209.45,Success,2025-03-23 01:20:03,,Mobile App
TXN0000016,CUST00332,AGENT0071,MERCH0047,Wallet Top-up,226319.73,Success,2025-02-13 14:46:02,,USSD
TXN0000017,CUST00213,AGENT0070,MERCH0026,Transfer,152924.5,Failed,2024-08-15 16:43:18,,Mobile App
TXN0000018,CUST00319,AGENT0138,MERCH0041,Wallet Top-up,91023.36,Success,2024-10-28 09:08:54,,POS
TXN0000019,CUST00158,AGENT0043,MERCH0051,Transfer,234135.77,Success,2025-07-23 13:41:56,,Web
TXN0000020,CUST00280,AGENT0096,MERCH0038,QR Payment,80161.54,Failed,2025-06-27 00:46:21,,USSD
TXN0000021,CUST00178,AGENT0020,MERCH0017,Airtime Purchase,60561.77,Success,2025-05-03 18:40:57,,Mobile App
TXN0000022,CUST00704,AGENT0013,MERCH0006,Transfer,80231.85,Success,2024-11-22 10:19:04,,Mobile App
TXN0000023,CUST00164,AGENT0081,MERCH0078,QR Payment,76307.69,Success,2025-02-02 17:49:09,Invalid PIN,POS
TXN0000024,CUST00681,AGENT0046,MERCH0073,Wallet Top-up,104617.31,Success,2025-06-10 14:46:42,,USSD
TXN0000025,CUST00225,AGENT0125,MERCH0057,Transfer,298155.01,Success,2025-07-08 23:24:38,Insufficient Funds,Mobile App
TXN0000026,CUST00123,AGENT0090,MERCH0003,Wallet Top-up,32480.3,Success,2024-11-26 07:32:46,,Mobile App
TXN0000027,CUST00435,AGENT0042,MERCH0049,Transfer,131654.9,Failed,2024-10-14 02:34:42,,Mobile App
TXN0000028,CUST00460,AGENT0021,MERCH0001,Transfer,274259.99,Success,2025-03-16 03:37:20,Account Frozen,Mobile App
TXN0000029,CUST00504,AGENT0051,MERCH0058,Transfer,2088.78,Success,2024-12-09 18:48:14,,POS
TXN0000030,CUST00602,AGENT0069,MERCH0066,Bill Payment,274573.6,Failed,2025-02-11 21:32:54,,Mobile App
TXN0000031,CUST00260,AGENT0042,MERCH0075,Bill Payment,30459.58,Success,2025-04-13 22:19:27,,Web
TXN0000032,CUST00043,AGENT0045,MERCH0074,Transfer,133410.21,Success,2025-07-24 17:54:57,,POS
TXN0000033,CUST00109,AGENT0095,MERCH0059,Transfer,65946.0,Success,2024-12-19 11:32:29,,POS
TXN0000034,CUST00358,AGENT0063,MERCH0086,Transfer,198873.78,Success,2025-06-14 00:36:50,,Mobile App
TXN0000035,CUST00795,AGENT0012,MERCH0039,Wallet Top-up,295248.54,Failed,2025-02-16 09:57:58,,Mobile App
TXN0000036,CUST00066,AGENT0009,MERCH0040,Wallet Top-up,233166.61,Success,2024-12-04 06:59:23,,POS
TXN0000037,CUST00389,AGENT0058,MERCH0041,Transfer,225908.56,Success,2025-07-20 06:36:17,,Mobile App
TXN0000038,CUST00207,AGENT0017,MERCH0062,Transfer,140476.89,Success,2024-10-24 16:49:27,,USSD
TXN0000039,CUST00313,AGENT0133,MERCH0030,Transfer,172742.45,Success,2025-02-24 15:24:19,,Mobile App
TXN0000040,CUST00368,AGENT0126,MERCH0009,Bill Payment,160325.29,Success,2025-02-20 13:10:50,,Mobile App
TXN0000041,CUST00675,AGENT0102,MERCH0084,Transfer,110373.88,Failed,2024-09-04 11:02:28,,Mobile App
TXN0000042,CUST00656,AGENT0025,MERCH0068,Transfer,290562.77,Success,2025-02-19 19:33:48,,Mobile App
TXN0000043,CUST00649,AGENT0088,MERCH0039,POS Withdrawal,265013.46,Success,2025-08-09 04:25:04,,Web
TXN0000044,CUST00406,AGENT0058,MERCH0075,Transfer,267425.92,Success,2024-10-01 08:14:32,,Mobile App
TXN0000045,CUST00475,AGENT0036,MERCH0075,Transfer,78208.97,Success,2025-02-06 18:08:51,,POS
TXN0000046,CUST00332,AGENT0069,MERCH0024,Wallet Top-up,224768.64,Success,2025-01-06 05:30:07,,POS
TXN0000047,CUST00627,AGENT0114,MERCH0008,Wallet Top-up,167459.93,Success,2024-11-26 23:16:44,,Web
TXN0000048,CUST00615,AGENT0043,MERCH0046,Bill Payment,171816.59,Success,2024-08-31 06:58:39,,Mobile App
TXN0000049,CUST00280,AGENT0012,MERCH0094,POS Withdrawal,49919.42,Success,2025-02-28 01:07:50,,Web
TXN0000050,CUST00782,AGENT0133,MERCH0042,QR Payment,136491.94,Success,2024-11-08 20:47:11,,USSD
TXN0000051,CUST00499,AGENT0044,MERCH0036,Transfer,147883.98,Success,2025-05-13 00:13:44,,Mobile App
TXN0000052,CUST00341,AGENT0126,MERCH0090,Transfer,206139.64,Success,2025-01-22 09:03:57,,Mobile App
TXN0000053,CUST00646,AGENT0042,MERCH0005,POS Withdrawal,180535.25,Success,2024-09-22 19:30:47,,USSD
TXN0000054,CUST00432,AGENT0026,MERCH0095,Transfer,73728.76,Success,2025-05-21 20:20:21,,Mobile App
TXN0000055,CUST00167,AGENT0120,MERCH0002,QR Payment,19447.91,Success,2025-07-07 20:35:47,,Mobile App
TXN0000056,CUST00276,AGENT0046,MERCH0029,Airtime Purchase,253067.79,Success,2024-09-27 17:44:55,,POS
TXN0000057,CUST00662,AGENT0049,MERCH0082,Transfer,185111.56,Success,2025-06-04 08:37:49,,Mobile App
TXN0000058,CUST00104,AGENT0125,MERCH0074,Wallet Top-up,167789.49,Success,2024-09-21 18:25:44,,Mobile App
TXN0000059,CUST00186,AGENT0080,MERCH0014,Transfer,55346.14,Success,2025-07-03 04:47:09,,Mobile App
TXN0000060,CUST00738,AGENT0100,MERCH0044,Bill Payment,286020.33,Success,2025-05-15 11:06:21,,POS
TXN0000061,CUST00418,AGENT0121,MERCH0076,Bill Payment,209480.54,Success,2024-11-14 22:53:55,,Mobile App
TXN0000062,CUST00416,AGENT0014,MERCH0059,Airtime Purchase,198790.39,Success,2024-10-24 11:48:15,Invalid PIN,Mobile App
TXN0000063,CUST00763,AGENT0124,MERCH0035,Transfer,111634.98,Success,2025-07-25 02:45:22,,POS
TXN0000064,CUST00221,AGENT0081,MERCH0059,Transfer,150214.37,Success,2025-01-31 03:54:11,,POS
TXN0000065,CUST00047,AGENT0035,MERCH0063,Wallet Top-up,228346.64,Success,2025-03-25 16:04:01,,Mobile App
TXN0000066,CUST00658,AGENT0034,MERCH0033,Transfer,108162.11,Success,2025-07-27 15:40:52,Account Frozen,USSD
TXN0000067,CUST00681,AGENT0105,MERCH0084,Airtime Purchase,284137.97,Success,2024-10-13 02:58:15,,Mobile App
TXN0000068,CUST00277,AGENT0040,MERCH0092,Bill Payment,114725.57,Success,2025-01-30 20:12:25,,Mobile App
TXN0000069,CUST00761,AGENT0065,MERCH0047,Wallet Top-up,107870.06,Failed,2024-12-23 18:15:57,,USSD
TXN0000070,CUST00598,AGENT0100,MERCH0009,Transfer,139795.6,Success,2024-10-17 20:21:10,,Mobile App
TXN0000071,CUST00151,AGENT0119,MERCH0026,Bill Payment,174056.94,Failed,2025-02-18 16:06:21,,Mobile App
TXN0000072,CUST00657,AGENT0067,MERCH0010,Bill Payment,123380.84,Success,2025-02-09 01:36:36,,Mobile App
TXN0000073,CUST00508,AGENT0044,MERCH0044,Bill Payment,48930.8,Success,2024-09-16 02:18:15,,POS
TXN0000074,CUST00733,AGENT0001,MERCH0058,Transfer,125620.45,Success,2025-03-30 14:06:53,,Mobile App
TXN0000075,CUST00236,AGENT0034,MERCH0037,Transfer,187411.39,Success,2024-12-15 11:52:00,,Mobile App
TXN0000076,CUST00604,AGENT0097,MERCH0079,Transfer,20604.77,Success,2025-07-27 14:23:18,,Mobile App
TXN0000077,CUST00393,AGENT0103,MERCH0044,QR Payment,270075.93,Success,2024-12-03 15:07:11,,Mobile App
TXN0000078,CUST00082,AGENT0112,MERCH0042,Wallet Top-up,158404.53,Success,2024-12-17 12:27:27,,Mobile App
TXN0000079,CUST00337,AGENT0098,MERCH0020,Wallet Top-up,165349.04,Success,2024-11-07 10:10:45,,USSD
TXN0000080,CUST00466,AGENT0094,MERCH0007,QR Payment,199095.61,Success,2024-10-12 16:25:01,,Mobile App
